20170201 wmid	SUM(cnt_click)	SUM(cnt_view)	SUM(dwell)
20170201 57101	58410735	605877958	5703696838
20170201 121912	12321138	65636004	3307019355
20170201 128052	15550824	74940344	3181719558
20170201 187686	11234417	72372943	2019218152
20170201 7022	16927400	226324436	1873976506
20170201 150630	4855455	36903677	1769747866
20170201 163111	18485584	98554472	1507875643
20170201 114954	8867123	43447239	1502768989
20170201 129827	15633597	101274877	1423359473
20170201 102547	12007096	74827168	1415286982
20170201 138051	3180361	16273656	1228811515
20170201 11281	13130808	152247941	1208698959
20170201 136375	4464699	50440282	1131460185
20170201 69996	8110118	56530583	1104725475
20170201 219848	9305432	61844408	1084158318
20170201 109807	7458400	32062016	1024620262
20170201 11704	14557899	179641503	1019291847
20170201 111954	5172752	25479300	1000503977
20170201 3537	11220772	93998360	977815195
20170201 81028	8712121	46412750	973648524
20170201 137835	6391863	26430549	895747331
20170201 154792	9853942	107414766	865569069
20170201 200218	4125228	31778937	863537056
20170201 117332	7784792	49256951	860711385
20170201 80916	7202396	31877070	840264209
20170201 104520	6188626	24458571	830619940
20170201 110703	5696763	35389818	809539149
20170201 175881	3752430	20832796	799970908
20170201 239683	5022288	24826519	796125489
20170201 20816	4176720	22463894	787590062
20170201 131882	2247258	12404707	785294107
20170201 136589	5755118	30839748	779877130
20170201 16279	6318117	49554956	772303603
20170201 112046	8705088	61086358	769631044
20170201 75457	7202167	59408044	768242628
20170201 7089	8164247	167136026	761546195
20170201 126391	2000855	10775109	754631270
20170201 75762	9928745	73701805	747925588
20170201 1816	3211316	17556065	739991615
20170201 122313	2985972	23477948	734192216
20170201 168382	1364852	7706124	702631205
20170201 235352	3169307	24651865	644678379
20170201 30106	5385019	27177426	642166604
20170201 83638	5155531	25982971	620177183
20170201 57411	6522156	33733650	619663177
20170201 154797	5969512	63993933	594280956
20170201 50948	5269353	24980081	592830383
20170201 145769	4504475	19843646	591023245
20170201 75544	6996280	35070185	581908066
20170201 180394	1789779	21099566	581124115
20170201 73404	5630996	40494480	578973409
20170201 170828	3830765	22365737	577776176
20170201 154127	5453290	24751554	576388399
20170201 111948	7429561	48745320	568213836
20170201 245119	2130605	8089165	554884723
20170201 124229	3046701	15215044	547062463
20170201 170826	3593753	21866702	535846694
20170201 197216	3091966	19799540	535701658
20170201 198576	4191371	19664946	530915649
20170201 62103	5469379	42182318	528253160
20170201 70976	4470849	30944897	509710767
20170201 194655	3146190	14216186	509328277
20170201 73094	3977040	23687110	500382091
20170201 81091	2867199	14338834	497813306
20170201 73156	5132071	37717984	497504349
20170201 239888	3918356	29014796	490477631
20170201 126313	2564640	16835655	489564327
20170201 121900	3838520	24913963	487466360
20170201 23167	3119732	28529530	480471397
20170201 61726	3747279	36159204	478898737
20170201 73093	3632122	21896308	476384956
20170201 223900	2802030	13592424	466863269
20170201 41068	3332645	25082310	466662874
20170201 194970	6760822	66021127	466459515
20170201 65779	6270933	109240002	459298337
20170201 29542	4132260	22186439	458340491
20170201 73158	4843658	35760196	456709683
20170201 207853	2660435	14706175	446529165
20170201 118129	3030661	28028187	446264538
20170201 187796	4318941	29588898	441452459
20170201 15987	6092278	49295094	437869933
20170201 73397	3761833	21399770	429577943
20170201 144760	1686378	10018404	427062080
20170201 129721	995428	6725631	426009768
20170201 245583	4102665	27104425	423908930
20170201 170822	3581560	20648031	422678347
20170201 102649	2488007	13860255	421578104
20170201 170805	3558260	21380778	417668846
20170201 242483	3597996	24660982	416981379
20170201 170799	3162728	19063001	414300513
20170201 241050	3677569	22211008	414142144
20170201 118198	4286153	32880438	404561515
20170201 50906	1036754	14143525	397366944
20170201 141189	2738532	20775372	396726663
20170201 95660	6162509	48918401	393737375
20170201 170800	3411479	19688922	391646005
20170201 91876	3319696	23415147	390567003
20170201 170825	3326209	20500337	388807405
20170201 238652	3447334	21294016	388593064
20170201 73101	3356716	20461685	387801355
20170201 170819	3365489	19771819	383500250
20170201 173042	1227164	6707673	381830527
20170201 116510	2854842	28887092	381465639
20170201 170797	3024222	19843293	379499045
20170201 170830	3295124	20419069	379162043
20170201 73098	3320707	18534602	377757927
20170201 225240	716314	5203995	377448659
20170201 27687	3474844	17974163	376508718
20170201 17535	4841959	33126469	374331561
20170201 102643	2365331	12927628	373472731
20170201 207212	2454375	14636935	373219552
20170201 170816	3326808	19719364	372700461
20170201 170803	3173273	18857074	372100167
20170201 170820	3195197	18071404	370580961
20170201 170821	3135785	18956661	370535335
20170201 170817	3140213	18576183	368360483
20170201 47090	4851820	42410109	366444587
20170201 192492	1404517	11927423	366310680
20170201 170814	3328421	20626245	361770827
20170201 3392	5105408	44068054	361499410
20170201 188149	4182148	47009519	360064585
20170201 65641	3693736	55451038	357932811
20170201 170823	2979250	18711214	356526392
20170201 170853	2301552	9955017	354851769
20170201 170827	3205988	18152876	352727772
20170201 170818	3068507	19441018	351302963
20170201 176048	4031748	27258402	350319511
20170201 4883	2786367	15944023	350111676
20170201 145615	3139857	16948845	349914075
20170201 3619	2652839	16742767	343274397
20170201 170829	2903111	18191143	343123871
20170201 67697	3299077	20082918	343029866
20170201 241181	1787529	9465347	343012229
20170201 65775	4721977	83037035	342092487
20170201 183908	4153492	27286429	341772606
20170201 170795	2894624	18237061	339133225
20170201 219668	1709389	14064770	335172420
20170201 170811	2980454	18047146	334838202
20170201 115750	1988640	12003499	334739301
20170201 5619	3705776	19991545	333777552
20170201 118188	3467795	29607029	333392602
20170201 170865	2544874	11527431	330820176
20170201 170815	3077800	17545043	330464411
20170201 170796	2838867	17244980	329774870
20170201 170824	3010280	18579623	328035039
20170201 1054	3936408	38147462	326783047
20170201 25526	2403634	10309120	324971376
20170201 17906	3973486	38992833	324781784
20170201 188114	3900691	24074920	324711929
20170201 170807	3031122	17807836	323118613
20170201 30622	2579893	12314191	321693451
20170201 187505	1333102	7202764	321377125
20170201 129753	795998	5677210	320075776
20170201 170801	2757225	17372317	319588442
20170201 63646	4802861	68738022	318577473
20170201 96612	1225112	16999117	317859861
20170201 96509	4890351	35955635	315934605
20170201 170798	2781570	17196410	314890194
20170201 94132	2685809	13986520	314189026
20170201 16728	738657	4388306	311188631
20170201 22487	4816232	35271547	309080123
20170201 128482	3041280	30259017	308320378
20170201 170813	2883876	17462038	308110018
20170201 219221	1886947	9111554	306185447
20170201 16904	4080085	26446691	305949898
20170201 155937	1622948	8521811	305724610
20170201 241064	2414191	18185009	304907205
20170201 124988	2448156	16697049	304460091
20170201 141747	1761422	26961808	303729154
20170201 81883	983612	6181721	301204002
20170201 113621	2629526	25287066	298681252
20170201 170812	2645241	16991724	298680888
20170201 238940	1904053	9642662	298089974
20170201 111124	2036132	18183466	297201977
20170201 69034	2878724	24293748	297173089
20170201 38586	2256294	12093798	295413878
20170201 107855	1820809	9138484	294243321
20170201 62480	3113650	18992457	294011664
20170201 22827	2585363	16893599	293433802
20170201 14369	3880624	72493437	290797197
20170201 155089	2997520	25993634	288894767
20170201 115109	2313717	19797881	288222219
20170201 105098	3501185	17063347	288089610
20170201 230432	1790353	8810995	287869618
20170201 174557	1253932	4600971	286741007
20170201 194138	1810133	12707524	285635216
20170201 175028	5380830	37456893	284654723
20170201 170858	1930333	8834644	283619659
20170201 10785	2538945	23593989	283411198
20170201 94210	1411819	10878824	282489325
20170201 117764	3643867	47977640	282347922
20170201 213942	1742725	9220940	279770457
20170201 130421	1455858	14075130	277833676
20170201 229125	2216579	12026968	276815427
20170201 170808	2498665	15946928	275572418
20170201 117536	1671606	14793121	274246243
20170201 170859	2161550	10345673	273039222
20170201 1070	3510400	28610902	272928830
20170201 147531	2496762	14766761	271695428
20170201 157409	2357158	14520218	270532264
20170201 5286	7304786	30931712	269957328
20170201 16965	4488241	17534554	268852345
20170201 750	1157406	8700884	268552161
20170201 136275	3958854	37004637	268356282
20170201 160578	1971414	20468940	266771007
20170201 167844	1286776	6098565	265145919
20170201 170839	1841498	10384635	262919563
20170201 172621	1734413	12936549	262443662
20170201 167033	2164913	42411120	261426390
20170201 194056	1720549	12312329	261301813
20170201 54403	1711499	17719248	259890034
20170201 227071	1237719	10028071	257522666
20170201 10530	2341766	16506668	256771363
20170201 223286	830455	4836023	256537616
20170201 211009	1780459	10400130	256365222
20170201 96267	3281486	18394938	256013012
20170201 233534	2078006	17042800	255578054
20170201 170857	2050072	9624002	255452831
20170201 113756	4679340	40789052	255385238
20170201 70041	1914426	10943443	254088569
20170201 121006	1573780	9114696	253384625
20170201 170856	2322085	10746638	253322364
20170201 21098	1715937	19553607	252616735
20170201 146832	2000887	14482003	252314487
20170201 97327	4120296	37464725	252041504
20170201 40854	3731684	26985810	248175507
20170201 25705	1394127	6123691	247771772
20170201 236491	3261641	24314861	246114529
20170201 73186	1446264	7495054	245810874
20170201 30312	1476723	6933171	244722477
20170201 73187	1911067	10115757	244009368
20170201 170623	1805389	10701300	243902547
20170201 93810	3137025	28223420	243015808
20170201 227218	2335760	13204516	241333455
20170201 103899	1804785	16057041	241054410
20170201 19204	2850347	20641039	240500881
20170201 155644	1581500	6137181	239920425
20170201 153471	5604365	45386381	239893478
20170201 104783	1152595	7887183	239863531
20170201 193867	3402082	60159290	239440177
20170201 170831	1465833	7178094	238144443
20170201 24	1928455	17200126	238111982
20170201 207552	2032206	13108001	236860805
20170201 229235	1618453	7274912	235357723
20170201 182664	1485851	8588718	232160539
20170201 170636	1883975	10804615	231806531
20170201 170832	1765868	8883774	229364677
20170201 108659	2626145	22447437	229121071
20170201 240202	2040964	11224991	229008638
20170201 132194	1109025	6564820	227913717
20170201 195449	1353800	10277434	227387491
20170201 219303	1305223	6064800	227303821
20170201 116039	1920513	11230111	225749852
20170201 14382	2066855	24074765	225573618
20170201 64248	1913558	11214161	224477681
20170201 73119	1720610	9982644	224106697
20170201 73202	1656590	7974565	224038033
20170201 246141	2080659	17823082	223427485
20170201 170841	1305327	6598602	223185972
20170201 241939	574093	6104397	222866953
20170201 67801	2324110	21751295	222548610
20170201 73402	1705548	10615202	220945318
20170201 170610	1770138	10849274	220539602
20170201 140400	1689798	9673244	219921423
20170201 170630	1670330	10292274	219850528
20170201 1576	2595051	29179471	219759368
20170201 241187	1397125	9660880	218608662
20170201 122328	2698629	28578045	218367163
20170201 170638	1886160	10842354	218223025
20170201 242632	2116557	17472409	216519742
20170201 66326	1838236	12378001	216431796
20170201 181490	1161963	14822278	216336163
20170201 235026	2330965	16473645	215929900
20170201 73401	1740303	11373946	214854813
20170201 170631	1776041	10916968	213246242
20170201 183186	3361997	33235626	212683378
20170201 170634	1803383	10502902	212380829
20170201 3294	2693926	20810896	212362862
20170201 70855	1124332	9855923	212154073
20170201 120804	2579204	12574381	211816486
20170201 198423	3377980	25633788	210368636
20170201 170837	1409536	6982403	209390882
20170201 102666	1554128	9209897	209033246
20170201 22681	1308466	7687238	208331666
20170201 23575	1860834	15875903	207859191
20170201 170864	2205035	8741091	207428331
20170201 44988	1881915	12681280	207168429
20170201 170604	1764161	9903611	207032166
20170201 170868	1667897	7778877	206266224
20170201 170621	1758966	10446982	204419346
20170201 170633	1729716	9826123	204074162
20170201 170840	1582417	7619929	203838198
20170201 25869	1163942	9926937	202448565
20170201 94262	1783104	15353586	201347128
20170201 189040	1790937	16710831	201299078
20170201 170637	1669418	10618730	200653207
20170201 129050	1772690	15829023	200489208
20170201 219377	1231156	11722681	199903184
20170201 170607	1685551	10414240	199398221
20170201 196599	1128497	13336961	198971510
20170201 170616	1742086	11155913	198784610
20170201 170619	1581365	9649820	197899273
20170201 170635	1674730	10563703	197837682
20170201 170622	1695880	10457973	197106591
20170201 188660	2826653	19882719	196999921
20170201 170632	1587073	10212989	196059709
20170201 83814	852631	6659446	195350394
20170201 73204	1472836	6587959	194884966
20170201 170606	1765865	11081127	194859236
20170201 170861	1660788	7620364	194733107
20170201 235443	2538815	20670536	194411521
20170201 14379	1347072	10997226	193923841
20170201 153235	1784890	15165298	193844839
20170201 112548	1902173	14112864	193698266
