20170201 wmid	SUM(cnt_click)	SUM(cnt_view)	SUM(dwell)
20170201 170614	1650205	10308954	193640120
20170201 170843	1984402	9738523	193050087
20170201 170609	1633048	9302791	192339290
20170201 1334	1657259	11989443	191697100
20170201 1180	1040242	6875514	190664028
20170201 211457	2469836	17349375	190164384
20170201 122612	2766225	26737462	189193888
20170201 170602	1608416	10892363	188288037
20170201 158587	2106254	19358485	187882653
20170201 73117	1522584	9567590	187675260
20170201 171955	2448932	24411595	187542345
20170201 82106	1232757	14662509	187518147
20170201 170608	1666581	10157510	187470870
20170201 170280	1871185	14734490	186690676
20170201 133524	1513918	6800662	186493065
20170201 170625	1603028	9610494	185945896
20170201 170615	1741263	9641549	185137493
20170201 170629	1565126	9653646	185094517
20170201 170605	1550223	9259127	184709752
20170201 178428	2489465	24239841	184651045
20170201 103903	1756966	14916392	183916206
20170201 98713	2283283	14359469	183740431
20170201 167864	2252104	18167118	183358763
20170201 114463	1412769	9563803	183267443
20170201 170611	1573345	10713157	182587697
20170201 203023	1391017	6202044	180335320
20170201 170620	1534743	9180343	180316852
20170201 170618	1598876	9922133	180293123
20170201 109433	2704760	18642709	180215081
20170201 170626	1521902	9696317	180144199
20170201 14356	1361597	19241552	179888456
20170201 170854	1346295	6318124	179646658
20170201 154903	2253207	23457729	179273855
20170201 103257	2395338	15979299	178978900
20170201 36695	1413745	21284128	178792587
20170201 136965	1497354	9823496	178426258
20170201 88940	1953285	21137939	178072836
20170201 170627	1539924	9562249	176870349
20170201 170639	1466119	8743739	176343457
20170201 98780	2710862	22856747	175973047
20170201 174986	988182	10235139	175794899
20170201 170603	1596417	10660044	174906185
20170201 245857	1515174	11594001	174402332
20170201 232019	1292220	7240857	174352399
20170201 170643	1224876	7739067	173850505
20170201 9882	826741	7933927	173683337
20170201 170852	1551232	7252778	173540448
20170201 240092	1314417	9788932	173407926
20170201 73189	1476148	7139136	173178102
20170201 175365	745946	3175976	172902798
20170201 154795	1854134	18291445	172611960
20170201 170612	1552754	9855618	172223297
20170201 170624	1621595	10665641	171995032
20170201 14366	1814603	19953553	171929781
20170201 226666	1810430	12147835	171908832
20170201 34515	1094778	5121776	171413865
20170201 73188	1266452	5863355	171287924
20170201 73209	1337586	7446224	171246566
20170201 170617	1671381	9633974	170379076
20170201 100528	848692	6566767	169722810
20170201 73205	1327895	6826051	169548964
20170201 170283	1548801	11432896	168933187
20170201 58124	1510902	8003691	168422732
20170201 172658	1608658	8431487	168405054
20170201 231617	970511	5406004	168356449
20170201 170628	1472260	9089851	168002499
20170201 234685	1612642	16236588	167763578
20170201 190762	1294587	11320186	166576203
20170201 140180	3188161	15655836	166503010
20170201 170844	1082063	5421142	166289891
20170201 170848	1513454	6685365	166013133
20170201 30174	1043924	4047489	165117866
20170201 17621	1277592	10950769	164790876
20170201 175281	1675879	17579918	164303542
20170201 97962	1543366	10884202	163813211
20170201 80908	1192371	7331017	163661389
20170201 73206	1458449	6861183	163409650
20170201 170613	1463256	8927925	162771175
20170201 4811	2092185	18073849	162741106
20170201 214764	2133154	11659580	162346201
20170201 5514	2409292	20110859	162194140
20170201 91783	2303202	13023162	161443259
20170201 118512	2201532	18558270	161300484
20170201 226276	2372303	31446446	160674676
20170201 126215	600320	2879271	160180734
20170201 193079	1136981	9974027	159545019
20170201 172905	950845	4306476	158632750
20170201 170862	1508024	7270039	157940164
20170201 82630	1801614	8779314	157796943
20170201 139225	1693655	17138934	157663407
20170201 73190	1282612	6096657	157406416
20170201 128330	703941	3045701	157200508
20170201 170870	1406759	6959892	157097147
20170201 110302	1709360	7726527	156823811
20170201 194313	1332667	10402959	156492231
20170201 170377	1476109	9601077	156416845
20170201 70019	1887537	21494474	156260240
20170201 170284	1624762	12199157	155017395
20170201 32756	1167737	11739604	154288822
20170201 212617	1826764	15114584	154105912
20170201 73174	1479706	11526216	152997661
20170201 75597	1175587	13302203	152684275
20170201 177145	1264969	5955523	152382834
20170201 48146	1669735	24673337	151928275
20170201 210229	1084170	8826836	151810753
20170201 154302	1996565	10783025	151570795
20170201 170282	1385353	11468551	151512325
20170201 170278	1393323	10947118	151137022
20170201 170835	1273454	5880320	151034073
20170201 170376	1551290	10178656	150977375
20170201 170863	1229939	5561247	150564335
20170201 170845	1283068	6387979	149384567
20170201 146597	1778431	14827237	149264116
20170201 189076	1372144	9586598	149218121
20170201 73176	1449886	11205613	149159942
20170201 170847	1139755	6044625	149131482
20170201 144702	1288984	4619172	149089370
20170201 196154	565242	4267353	148991120
20170201 133425	1749254	15884211	148698036
20170201 173160	852394	3468849	148251813
20170201 6599	939497	12603526	148026622
20170201 170867	1151804	5879826	147939296
20170201 73172	1525412	11722330	147741821
20170201 170833	1185728	5728218	147462958
20170201 62402	1203091	7921133	147356622
20170201 65633	1774986	21904858	147147702
20170201 36718	1078136	11558852	146782962
20170201 144429	873280	6984575	145848500
20170201 73068	1356275	9378534	145565617
20170201 10408	1979490	21184301	144095727
20170201 230889	1138433	14035821	143362379
20170201 100001	2218830	19156084	143311316
20170201 24382	1651756	16419934	143190942
20170201 118194	1511237	11020641	142879746
20170201 232976	2265255	17094579	142766711
20170201 74656	924644	6667126	142522919
20170201 170860	1054435	5375685	141598768
20170201 216314	1725674	16154098	141490508
20170201 130722	1403944	6548236	141481206
20170201 238281	1128344	5943057	141180979
20170201 146620	1758738	11673453	141121459
20170201 97921	1107100	11285928	140667358
20170201 8130	796153	3974549	140371230
20170201 113130	2141767	18083230	140327532
20170201 81057	2474295	19512798	139696475
20170201 177161	937048	6984121	138399571
20170201 62572	3315554	26388291	138171204
20170201 11545	1558509	15960953	137826208
20170201 230881	1056897	4084176	137544184
20170201 161921	1786953	8257169	137528249
20170201 185757	1227851	5479390	137498037
20170201 227351	2843318	19764898	137475202
20170201 96589	866959	7394916	137205466
20170201 127319	1475279	15168842	136936913
20170201 170385	1452846	9313858	136898151
20170201 170834	1231963	6848280	136606087
20170201 170372	1337788	8743857	136034994
20170201 71294	531478	2687468	135947543
20170201 222168	2111224	11974497	135423126
20170201 170398	1338574	8571631	135357202
20170201 72258	1280502	13466316	135305159
20170201 144627	1246901	8249851	135215012
20170201 87529	732068	5615034	135133763
20170201 242512	1618594	16333832	135024775
20170201 240198	1086795	5766153	134987157
20170201 66931	1077390	11042599	134909331
20170201 170393	1243173	8437834	134712933
20170201 113677	1209506	5269320	134328659
20170201 170592	1508198	9528370	134003502
20170201 177710	1365397	6477584	133393311
20170201 170380	1300598	8781132	133256885
20170201 170373	1394598	9338106	132775958
20170201 166517	652568	2840399	132089312
20170201 67553	3096725	43532378	132027161
20170201 41288	1329068	6995537	131991952
20170201 7633	1290859	8085915	131861361
20170201 73088	1402419	11456540	131798987
20170201 178245	993214	5437899	131677109
20170201 207484	2157676	11039370	131551899
20170201 138984	3206854	26901519	131500331
20170201 61705	1363890	7653409	131284562
20170201 73178	1322675	10601101	131252283
20170201 173957	975859	5255847	131135621
20170201 87558	1321394	164333	131027205
20170201 201638	1405234	6392315	130981120
20170201 186964	615785	5187626	130763090
20170201 147568	1153949	6887268	130719085
20170201 74681	1564645	14133498	130701012
20170201 164587	1446459	11690385	130124474
20170201 80913	923273	12702923	129930430
20170201 172359	934980	5355390	129319259
20170201 109021	884292	6924856	129054774
20170201 170855	1025758	5401264	128994231
20170201 178676	821766	4071308	128982691
20170201 170400	1184143	8075753	128742304
20170201 159751	2019656	11278166	128568219
20170201 73067	1146562	7596611	128512426
20170201 23266	1883882	21280635	128355718
20170201 143284	1409148	7660099	128326363
20170201 72333	1061086	4878893	128315082
20170201 89084	1657665	9614952	128041565
20170201 231901	731023	7102549	127883422
20170201 127051	1548856	15196672	127835437
20170201 117504	1295112	5053996	127082294
20170201 17757	938113	14185305	127070662
20170201 170277	1241100	10037916	127015782
20170201 73086	1213262	7935685	126960087
20170201 149621	1433532	4787636	126857936
20170201 3528	1221073	15142324	126564741
20170201 115991	2270366	12715612	126495338
20170201 170272	947397	6533600	125867957
20170201 172579	1057725	4832851	125770097
20170201 170390	1280479	8761896	125601926
20170201 73084	1268297	8711837	125102477
20170201 198685	1320436	10755329	124899573
20170201 40649	1463615	13224077	124522036
20170201 170396	1146740	8088939	124067002
20170201 163005	1098399	8727253	123850863
20170201 240098	1444283	8215674	123655391
20170201 1495	874567	7733082	123488694
20170201 135470	1291823	16840584	123373048
20170201 200447	1451146	9594867	123179964
20170201 83503	1617653	14544763	123126803
20170201 170275	1168135	9254601	122902082
20170201 215987	667224	6315697	122787339
20170201 21648	1053447	16336434	122224658
20170201 170270	884710	5680513	121989926
20170201 170392	1265751	8431913	121739106
20170201 199290	979227	5902088	121493289
20170201 112626	2293662	24125051	121168782
20170201 75586	1362127	15974956	120627185
20170201 170388	1132273	7191046	120400820
20170201 170374	1196304	7970005	120341528
20170201 121905	764644	9353107	120070871
20170201 137614	997138	4192112	119923544
20170201 223816	615103	2212756	119845370
20170201 163572	1285073	14670472	119716455
20170201 170366	1230631	8840747	119274745
20170201 143378	1147607	8884587	119137128
20170201 20067	905995	8941259	118817094
20170201 170269	814641	5396187	118546809
20170201 170838	884748	4028250	118222514
20170201 80998	975892	6156464	117987600
20170201 73095	1096831	6948672	117860013
20170201 170869	1008750	4984695	117399978
20170201 136298	815876	4155115	117391113
20170201 224893	1042267	7877532	117087772
20170201 90495	941184	23468434	116913008
20170201 11101	1626428	10664066	116882172
20170201 76509	488069	2769203	116648794
20170201 170382	1083812	7160487	116479159
20170201 561	929049	10073204	115584088
20170201 107874	2028646	15307714	115503146
20170201 153963	1341507	7180976	115315897
20170201 83430	1610075	13627496	115307042
20170201 170365	1141363	7637730	115035295
20170201 108079	954143	6164803	114948492
20170201 172126	849942	4901646	114883129
20170201 91288	770790	2876380	114618417
20170201 170381	1127154	7663636	114547679
20170201 170264	852669	5188774	114495449
20170201 239154	1146683	15298428	114338475
20170201 15567	1099059	9265388	114207390
20170201 174045	954129	3566238	114204464
20170201 5020	914059	14218165	114159071
20170201 177993	880152	3541398	114155530
20170201 212728	2010780	9976345	114018963
20170201 170370	1126477	8091611	113817033
20170201 98789	1373784	11274524	113738917
20170201 184815	1634333	16398025	113476900
20170201 61541	1690312	13063066	113468866
20170201 217356	1228922	4916609	113079617
20170201 171786	1704848	10856381	113041957
20170201 170849	1127796	4843625	112666876
20170201 229021	1293561	10898335	112547235
20170201 127261	621128	5423493	112525865
20170201 170642	730731	5373717	112377223
20170201 243288	881449	5924165	112344392
20170201 8941	595396	3420833	112309941
20170201 163108	800872	5450467	112211380
20170201 165791	596040	5788172	111886990
20170201 170384	1035032	7298166	111723046
20170201 13413	898355	4005559	111715952
20170201 73060	1157590	8675554	111510876
20170201 184819	465758	3061781	111405794
20170201 22151	970800	5222205	111254356
20170201 244199	1197817	9805402	111174166
20170201 156957	467614	2712173	110869372
20170201 159459	1113085	7724892	110864472
20170201 170262	839364	4905127	109965181
20170201 78794	1380973	10619516	109925719
20170201 170397	1115714	7641779	109691606
20170201 77202	526213	4633035	109641566
20170201 170266	797697	4844388	109455470
20170201 96254	1040106	9376819	109386582
20170201 170375	1107785	7310899	109276935
20170201 170364	1111813	7994534	108956491
20170201 170261	832148	4829119	108888341
20170201 137088	991879	5813729	108448740
20170201 100761	1112448	11271000	108399846
20170201 170842	1018697	4848380	108386449
20170201 170363	1075224	7984889	108371659
20170201 162245	737678	3529199	108048502
20170201 209904	428944	4351964	107751511
20170201 170281	1258927	7856865	107633630
20170201 101060	1846830	17706130	107387530
20170201 97036	1105225	9614056	107361074
20170201 1246	806862	5780059	107346597
20170201 243848	953448	5965465	107311467
20170201 107368	401450	5027380	107250948
20170201 170265	781518	4813837	106884355
20170201 234722	401529	4087127	106722372
20170201 170386	1091019	7908654	106711354
20170201 30149	675750	3082276	106620822
20170201 170850	923199	4289753	106487395
20170201 170263	774198	4553013	106296376
20170201 176719	1993948	13208756	106155829
20170201 189077	2926634	10470909	106064940
20170201 77239	887624	6938496	105856584
20170201 170846	918391	4905266	105795434
20170201 58967	855553	5138047	105781242
20170201 63065	1198512	9889556	105361490
20170201 7666	1552401	15563855	105342268
20170201 183550	960944	5583039	105311725
20170201 14827	1641347	11146037	105194202
20170201 2332	1274340	25895171	105087093
20170201 190738	614654	9132328	104851548
20170201 170367	1001482	7025317	104676543
20170201 170378	1100963	7440950	104626548
20170201 102146	699379	9905437	104602511
20170201 138164	1198400	8107154	104536276
20170201 129108	1186957	9541626	104488914
20170201 242487	727640	3240747	104364460
20170201 214059	1620421	8488267	104069233
20170201 73105	764635	4031638	103956135
20170201 70723	1581570	15209280	103955544
20170201 227592	1431117	9784579	103899999
20170201 236079	645763	3290504	103860313
20170201 243747	1133118	9261811	103854433
20170201 196152	889703	8847981	103690210
20170201 63248	1193193	7950262	103636584
20170201 200151	743114	5508437	103314953
20170201 67138	1700342	16153227	103212054
20170201 87414	939036	6641764	102984563
20170201 170836	863695	4299845	102914584
20170201 55713	605787	2227532	102847329
20170201 184811	3478520	17220058	102685055
20170201 194971	1591897	18924792	102607403
20170201 116348	1470997	6828576	102471993
20170201 170678	669767	5070057	102371611
20170201 72297	808787	10140858	102284740
20170201 101068	887039	7611304	102141709
20170201 198867	1096101	10596182	102022352
20170201 208404	803190	2763933	101954020
20170201 172511	830416	4238705	101875027
20170201 242077	871841	6799256	101721627
20170201 146076	1174348	12272594	101717123
20170201 234416	283497	1830684	101640166
20170201 73149	769940	3342762	101610901
20170201 170325	702578	3510793	101454382
20170201 13058	557145	8833406	101187367
20170201 132216	838231	8051726	100963106
20170201 170595	1043240	7467930	100949715
20170201 71665	989493	7002526	100854589
20170201 227659	977234	5922389	100703883
20170201 37122	2145572	22393860	100633748
20170201 42740	494110	4961280	100458951
20170201 170657	749409	4905769	100126502
20170201 170383	1017965	7327244	100122369
20170201 42731	796557	8245821	100101434
20170201 16740	1519637	9652350	100099866
20170201 244801	1047685	11180084	100063471
20170201 114188	1149049	9776082	99690932
20170201 170391	931138	6969500	99595618
20170201 57802	1574271	18270992	99435945
20170201 67209	264067	2545168	99156439
20170201 518	805385	7844452	98946369
20170201 220297	1578927	9599719	98762233
20170201 206544	596257	2813928	98742788
20170201 184603	770831	13416960	98738510
20170201 113863	878744	3827299	98594861
20170201 30513	881862	4153302	98590844
20170201 77490	799799	7507051	98555375
20170201 103280	1387806	9899347	98496649
20170201 118947	1004223	6675904	98395166
20170201 225312	826997	3655971	97978241
20170201 73056	742811	5167496	97838017
20170201 127321	1151795	10459406	97788423
20170201 170369	1038624	7112124	97766988
20170201 170368	921263	6637090	97467477
20170201 244069	1150099	8731284	97310810
20170201 65571	1076383	10414495	97134163
20170201 196864	1039963	12218258	97090423
20170201 78254	607522	8997014	96771878
20170201 94708	1425409	7904035	96725068
20170201 84653	1048524	20904162	96598377
20170201 167123	1253541	7401247	96492658
20170201 170670	958276	5276479	96324756
20170201 170271	748368	4650504	96177002
20170201 151827	1351973	8848245	96114743
20170201 65793	775170	7701197	96082259
20170201 232753	841769	4195385	96066471
20170201 157123	530279	2903100	95675238
20170201 22991	1453738	13002258	95580703
20170201 15719	1095109	14019966	95543031
20170201 73407	429526	2791084	95513713
20170201 176191	707593	6383581	95390005
20170201 79671	982745	5476199	95370008
20170201 212657	1099770	10538116	95358296
20170201 80468	1048632	7235015	95357645
20170201 73097	917171	6390476	95297523
20170201 156850	869144	8532698	95291470
20170201 166126	1091999	7891252	95278534
20170201 228962	918990	4553544	95185444
20170201 196657	1280794	11614223	95170155
20170201 170259	741570	4486923	94893609
20170201 187800	1083928	8537263	94802165
20170201 81017	1305624	14646502	94801952
20170201 4421	1408823	12687485	94778606
20170201 52140	1563595	20456296	94746528
20170201 170516	1024878	7538922	94658027
20170201 170517	1010728	6685325	94567976
20170201 159039	1169253	7295639	94562550
20170201 148180	634775	3637426	94023186
20170201 170389	1043415	7022247	93837613
