20170301 wmid	SUM(cnt_click)	SUM(cnt_view)	SUM(dwell)
20170301 19204	3812974	36107436	318872930
20170301 109433	4124681	31051652	317975410
20170301 144627	2305984	16724590	317221141
20170301 170857	2765536	17655218	317181427
20170301 259815	1979450	10866027	312198908
20170301 115109	2667700	25117566	311131102
20170301 226276	4547986	67816228	309382553
20170301 47090	3906575	44645711	309100943
20170301 190004	4986222	34448398	308222062
20170301 188660	3540048	28520442	307805567
20170301 57411	2843101	19407193	307293688
20170301 111954	2091600	17664271	307281767
20170301 23167	1921820	22987774	306648454
20170301 27687	2534916	16458631	306220824
20170301 25869	1701097	18663718	305987781
20170301 17621	2479337	30720306	305081782
20170301 154795	2563613	26202395	303799959
20170301 235944	1229973	10660272	300215954
20170301 170863	2190679	12905861	297300188
20170301 196599	1463443	19166953	296593707
20170301 250438	3325656	28044296	294991957
20170301 10785	2938116	33419024	294089652
20170301 227351	6180538	53652828	292240641
20170301 84653	2466751	38810691	290639919
20170301 122612	3759815	38927928	289778565
20170301 65633	3253101	48089966	289276646
20170301 230432	1836368	11376227	285748988
20170301 170845	1721560	10728269	285719666
20170301 188149	2952471	46791229	284270842
20170301 11545	3267154	41500810	282747587
20170301 249116	1834330	11321156	282182567
20170301 153471	7147787	65739556	280897878
20170301 16728	707463	5991077	280719395
20170301 120804	3021972	20163586	280402295
20170301 115750	2010542	13477945	278286199
20170301 158587	2337832	19657187	278251915
20170301 235352	1746883	26829472	277456604
20170301 230889	1934064	29859389	276377761
20170301 10530	2181999	18612163	275627418
20170301 225240	546362	4534498	274093161
20170301 92427	2039194	11428644	272592857
20170301 65641	2865941	42131148	271542926
20170301 22827	2108857	16176063	271470885
20170301 176329	2797632	25695803	270028579
20170301 241064	2291296	21506652	269145556
20170301 200218	871266	7703209	267372448
20170301 194971	3314504	43519711	265804760
20170301 83638	2278637	19704804	263254738
20170301 250798	1909808	10707743	262876633
20170301 264977	3232770	31294451	262435875
20170301 918	2719748	42900497	258822456
20170301 167864	2796001	25882106	257861887
20170301 129050	2207971	31060040	257826137
20170301 8433	3336667	26066708	257548950
20170301 73202	1929913	12445962	255310859
20170301 227071	1695060	12618684	253637613
20170301 164587	2774823	26421759	251686211
20170301 193867	3560242	57870803	251551460
20170301 106031	976880	5437808	249407983
20170301 41068	1825434	15102510	248554419
20170301 145615	2307574	19358714	247696039
20170301 170849	1913092	11974566	246427626
20170301 170639	1940214	14766809	246388342
20170301 96267	2628153	18381884	245794418
20170301 81732	2195285	27146249	245704211
20170301 170605	1895115	15020680	245492298
20170301 73176	2410294	22449625	245287343
20170301 117764	2602320	37581246	244337115
20170301 211009	1402029	11203609	243306971
20170301 73119	2040135	15512835	242849226
20170301 214059	4626476	28484125	242705224
20170301 77202	1213208	11802008	240332957
20170301 124988	2106696	15143987	240056101
20170301 148180	1055785	7738541	239297411
20170301 102547	2305711	21241546	237890517
20170301 170626	1709427	13432392	237835404
20170301 22487	3362845	31279198	237760669
20170301 1180	1121392	8873017	237591877
20170301 73190	2545916	16854443	236556316
20170301 73401	1890170	14689563	233135350
20170301 218116	1420654	6909481	232951890
20170301 170632	2206508	16628930	232300961
20170301 94056	2374841	15511277	231943150
20170301 194313	2012167	17573858	231855462
20170301 181165	1291888	10161403	231684944
20170301 170610	1915626	14527747	230488335
20170301 182163	1456794	15990764	230259145
20170301 261573	1713262	9352720	230013642
20170301 133167	2980068	23025812	228389634
20170301 170618	1951841	16872122	228000262
20170301 70019	2394204	31380812	227854647
20170301 69034	2472865	24291752	227732029
20170301 197216	1149036	9138905	227024655
20170301 70041	1819659	10968522	226866919
20170301 128482	1749893	22319612	226853327
20170301 170630	1756224	14011955	226204893
20170301 170850	1870666	11367374	226043259
20170301 249675	3129266	22640451	225081408
20170301 170623	1785808	14102276	224870225
20170301 240090	2459308	23528534	224550718
20170301 172658	1713745	8753551	223134222
20170301 5286	6067532	32013938	223012414
20170301 73117	1785429	13804779	222399847
20170301 170831	1684656	10411408	221779493
20170301 102643	2013068	11160669	221626173
20170301 170613	1849828	15031180	221604394
20170301 80387	1755190	12720617	221272120
20170301 48146	1843093	26451013	221186772
20170301 236491	2931213	26632543	221177415
20170301 260617	1818500	16655962	221163849
20170301 144429	856393	5331125	220722256
20170301 170608	1813995	13846674	220016194
20170301 170619	1623599	13044057	219600697
20170301 170634	1704307	13143658	219043267
20170301 140400	1950662	12004277	217714546
20170301 116249	1422906	9087111	217232747
20170301 170602	1708333	13809452	217173837
20170301 170603	1766123	13798688	216625412
20170301 177710	2367804	12158928	216111485
20170301 170633	1801270	14351200	216049231
20170301 170636	1764448	14151646	215534869
20170301 170841	1603833	9602715	215404130
20170301 170614	1774044	14138125	215243771
20170301 73402	1729584	13661158	214885725
20170301 190907	1530676	9231063	214402895
20170301 82106	2109233	32783644	213918562
20170301 157409	1710593	14024125	213463468
20170301 4883	1724569	12482879	213011462
20170301 198558	3041248	39424674	212675134
20170301 1334	1638167	16579811	211658131
20170301 170615	1779896	13787610	210074348
20170301 170609	1760899	14253163	209610421
20170301 170832	1694639	10678822	209242787
20170301 70203	1764861	16358569	209177959
20170301 73188	1652352	10366676	209035419
20170301 170637	1692778	12965913	207862690
20170301 170280	2019864	19508177	207519018
20170301 170620	1805770	14950855	206060201
20170301 50288	1304289	9997793	205910258
20170301 170631	1813276	16166657	205808092
20170301 170277	2117017	20716013	205481961
20170301 170607	1747400	13985977	204980477
20170301 241680	1516771	7864428	204324718
20170301 170852	1780251	10738712	204164031
20170301 170834	1824028	12698894	203723397
20170301 36695	1597121	18768188	203500267
20170301 251043	1968267	13491594	202688014
20170301 170616	1768586	14637753	200308848
20170301 170844	1646900	11024800	199660610
20170301 170617	1711942	13051994	199656411
20170301 170625	1611025	12638256	199522275
20170301 215987	1396572	14735206	198347836
20170301 245959	3133060	27694971	197841974
20170301 170638	1606911	13232030	197755598
20170301 170635	1636878	13286033	196853146
20170301 44988	1512717	11692972	196352958
20170301 170622	1581323	12891230	196197131
20170301 1070	2512889	21984334	195667759
20170301 170865	1954720	13431995	195621423
20170301 97327	3051018	33323743	195618493
20170301 244418	3512792	31481588	194872348
20170301 16904	2512975	22778012	194312757
20170301 170284	1932872	19067542	193898256
20170301 170604	1713545	14633529	193524960
20170301 170624	1704405	13862626	193026100
20170301 198765	797791	3342962	193007501
20170301 198592	928142	4944576	192607647
20170301 73172	1914833	18424555	192484952
20170301 73174	1872811	19694946	192139134
20170301 125865	1489916	22117706	191704901
20170301 18403	2275177	13343931	191679941
20170301 30622	1439965	8004352	191407160
20170301 188574	2714884	41072184	190340664
20170301 133706	1854317	38188707	190026999
20170301 170627	1609815	12686751	189516184
20170301 170864	1597304	8220462	189327693
20170301 170847	1442068	9493052	189260652
20170301 62402	1674598	11680880	188989945
20170301 170836	1717488	11507542	188658467
20170301 154797	1894498	24417725	188635141
20170301 118198	2184418	22225624	188487067
20170301 105098	2455313	18773812	187446764
20170301 5514	2699669	26540782	186644403
20170301 170859	1867143	9961515	186394297
20170301 17535	2751337	24426563	186055579
20170301 73205	1629795	9959303	186037206
20170301 170833	1470242	10375973	185804794
20170301 170621	1597023	13215389	185583710
20170301 231393	1394808	10929046	185523029
20170301 66889	1542860	14989513	184263565
20170301 181490	1144084	9511934	183768598
20170301 170870	1390634	9362541	183279898
20170301 241234	1179179	5283548	183004570
20170301 170628	1596673	12791727	182003264
20170301 170275	1817158	18724696	181817136
20170301 93810	2610231	33626592	180671091
20170301 252173	1861359	21931803	180581613
20170301 25310	1676517	13528065	180534161
20170301 56801	1674893	21586936	179626665
20170301 189040	1930024	25610298	178677711
20170301 73187	2024651	10888344	178649256
20170301 223900	1198791	9228010	178436762
20170301 73178	1723963	16837754	178195835
20170301 32855	1496945	9412999	177910721
20170301 45235	1179035	9561415	175488006
20170301 73209	1362534	9301029	175319270
20170301 170839	1632007	9824567	175161001
20170301 78794	2108242	18254908	174780710
20170301 129108	2165801	17848258	174163126
20170301 243288	1468331	9731402	173966490
20170301 72258	1620972	23114131	173536734
20170301 228817	2374657	21518007	173084285
20170301 113756	3213431	38207604	173057821
20170301 176048	2311639	26317305	172181625
20170301 170860	1640630	10187496	172069282
20170301 170278	1727286	17846025	171808893
20170301 170283	1669333	17411708	171738570
20170301 58124	1529197	9991109	171413983
20170301 154903	2000897	22533763	171047894
20170301 170612	1391539	11574291	170635116
20170301 107808	2130052	41034568	170587300
20170301 101068	1257014	11045739	170506606
20170301 223761	1131305	6917578	170205980
20170301 192492	663517	5034128	169121434
20170301 170629	1417718	12054655	168652840
20170301 21648	1360015	22254512	168324638
20170301 234672	790219	7268578	168144202
20170301 75586	1840252	19370410	168136866
20170301 107495	541891	4035962	167943923
20170301 163005	1012998	5873645	167853261
20170301 34932	2048184	19671561	167223238
20170301 171955	2109138	17064236	166732112
20170301 170855	1481568	9405243	165809453
20170301 155644	1355213	5354995	165571906
20170301 100354	981771	5830794	165571053
20170301 159169	3056407	31989812	165533362
20170301 170606	1621847	13042142	165463592
20170301 170611	1424490	11765044	164752452
20170301 136192	2399195	18711869	164526579
20170301 70976	1455311	13170688	164079414
20170301 94132	1633266	9571509	163536982
20170301 24382	1678440	21124445	163449657
20170301 170392	1477066	11241023	162655604
20170301 85277	589775	3154135	161775381
20170301 234212	522904	5703664	161690851
20170301 170526	1384825	11328893	161570180
20170301 170394	1640762	12222789	161335224
20170301 83503	1948040	22162889	161232952
20170301 200714	867592	5799447	160895324
20170301 101060	2434600	24024870	160778930
20170301 170835	1522772	10285961	159802335
20170301 249144	1478390	13639531	159391628
20170301 73088	1628508	13304363	159191621
20170301 140180	2365625	14338355	158503184
20170301 111714	1336951	7305902	157944090
20170301 183908	1639860	13168538	157405183
20170301 170846	1427663	7602567	156796250
20170301 70855	1131297	11493176	156678657
20170301 170862	1394440	8895967	156471998
20170301 114936	1724782	13963297	156268886
20170301 219436	867831	4226975	156224230
20170301 147568	1449009	9356941	156143629
20170301 170262	1109674	7309749	155985464
20170301 74356	2502154	29542803	155945551
20170301 112548	1328493	14024907	155791989
20170301 170861	1531062	10035377	155663544
20170301 263790	957960	5683791	154591979
20170301 73206	1308044	8212318	154453491
20170301 73189	1200876	8198531	154276732
20170301 108079	1445671	11155473	154212938
20170301 90974	904416	8677224	154014914
20170301 244224	2287038	19592578	153957430
20170301 127051	1724783	17311351	153559695
20170301 162756	2605219	22630026	153127303
20170301 170393	1287160	11086744	152896949
20170301 170382	1441049	10832599	152562538
20170301 96509	2198607	21780909	152312212
20170301 131549	881700	5666559	152058634
20170301 242772	1258122	14798589	151703248
20170301 103903	1567470	15483124	151680698
20170301 254921	1796716	9815126	151443090
20170301 127690	1889098	19442043	151163370
20170301 42740	719506	6949536	151004247
20170301 125791	1163095	6536711	150764537
20170301 130376	1415215	13972320	150632773
20170301 170869	1451068	9852313	150597363
20170301 227547	850646	11779518	150243770
20170301 84153	799764	4682539	149983292
20170301 3294	2084314	18281907	149028575
20170301 112626	2940722	32797507	148631805
20170301 170843	1591494	12118933	148465879
20170301 170365	1551249	12802566	148453786
20170301 87769	995811	5747839	148366741
20170301 57506	1010671	9263910	148337723
20170301 10408	2028426	24036891	148235849
20170301 135470	1406594	21369981	147404413
20170301 80789	1411261	13128078	147126504
20170301 237359	1043228	5103815	147019389
20170301 14356	1151390	19198244	146734599
20170301 242045	1112893	7176682	145149895
20170301 190738	1028599	14649090	144240982
20170301 75597	1516913	22779646	144194083
20170301 170854	1352552	8651741	144142093
20170301 1613	1119084	14759711	143994011
20170301 67697	1424692	11549653	143898472
20170301 73060	1254517	10629765	143327384
20170301 66326	1285974	10250717	143144886
20170301 37856	805229	7703940	142915488
20170301 170858	1191017	7049258	142490448
20170301 165791	802278	7797073	142473314
20170301 148293	3194118	34117969	142465546
20170301 74656	932213	10098138	142379895
20170301 200609	866736	6734689	142372723
20170301 200447	1497046	10341560	142077883
20170301 121006	1034042	10643614	142052501
20170301 170848	1285633	8263553	141819145
20170301 170376	1225224	9666232	141812826
20170301 170842	1245104	8413982	141756191
20170301 67553	3496432	60399092	141390904
20170301 170273	1504944	13354287	141154368
20170301 158616	1185167	6821233	141021708
20170301 38586	1370862	13991113	140827886
20170301 170267	1021687	5943709	140744086
20170301 187505	1074114	6390870	139681346
20170301 126215	525569	3787291	139074568
20170301 170281	1678249	13896622	138851515
20170301 75755	891833	8627149	138779728
20170301 234722	597052	6887759	138517894
20170301 130722	1169038	5715757	138107066
20170301 62480	1536357	11242507	138006880
20170301 82863	1214038	14616855	137752806
20170301 51401	1791784	22364937	137277376
20170301 170856	1219004	7664055	137145553
20170301 170398	1287481	10661845	137060822
20170301 184812	2227748	24370038	136872488
20170301 53193	988148	15518460	136846002
20170301 207723	909714	13636170	136834612
20170301 170388	1318381	10658895	136605837
20170301 170837	1301066	8725857	136382186
20170301 73062	1310899	10884999	136343562
20170301 137614	954728	4498771	136120170
20170301 89084	1500609	9741840	136091127
20170301 136589	1098355	7750529	135594465
20170301 5619	1639384	15143844	135139947
20170301 230600	819484	8562763	135029762
20170301 170364	1259875	10103498	134991901
20170301 73186	1103903	8043086	134986413
20170301 667	1353706	15089190	134941462
20170301 94262	983308	11281304	134717423
20170301 16965	1629188	15744079	134657633
20170301 14382	1037539	11680276	133562483
20170301 9485	915404	8803473	132955453
20170301 170285	1509232	12755676	132646000
20170301 170268	939702	6896104	132201968
20170301 234685	1192700	11123071	132064335
20170301 170867	1060012	6584941	132034974
20170301 132194	877558	6525807	131836480
20170301 125410	2208072	18454162	131797170
20170301 170368	1229526	10363148	131688952
20170301 93015	897779	5128507	131415889
20170301 63391	649135	14067712	131229336
20170301 77239	1229343	15419816	131200433
20170301 79671	1185791	8220225	131046962
20170301 99600	1355235	13984792	130714898
20170301 73084	1165964	9743002	130706597
20170301 147531	1134262	9332809	130346250
20170301 23266	2095985	21951743	130250556
20170301 37722	1538380	21470484	129683568
20170301 36718	879530	10571359	129584406
20170301 175281	1253691	20085004	129551819
20170301 213678	1248902	11359300	129548151
20170301 147309	1588169	12129094	129445325
20170301 62572	2836166	26180434	129163322
20170301 73086	1262699	10339313	129005341
20170301 153235	1562591	17353588	128728474
20170301 174615	960121	9500794	128635920
20170301 81241	2184587	50656347	128496288
20170301 170387	1199615	9232394	128443121
20170301 103023	1628651	27178643	128077584
20170301 60354	652398	8560020	128046067
20170301 146048	1476443	29403393	127769699
20170301 67210	715702	8799242	127736007
20170301 170373	1248965	10475858	127646444
20170301 170375	1219653	10304605	127625248
20170301 200727	526257	7464076	127595628
20170301 252227	1373180	10179269	127321967
20170301 73067	1160360	9883226	127290002
20170301 2332	1485960	36983400	127235210
20170301 235842	831740	4279190	127048085
20170301 170370	1206418	10198304	126599654
20170301 170374	1154608	9984308	126460841
20170301 173957	733991	4965664	126390601
20170301 170400	1269021	10510262	126271811
20170301 125683	1162997	7705160	126082402
20170301 189519	1023445	14214404	125609110
20170301 170396	1127238	9906096	125587222
20170301 141189	995059	8075396	125022147
20170301 116039	1686195	12964255	124820259
20170301 15567	1169232	12119931	124745791
20170301 170270	943465	6786398	124629455
20170301 108012	681278	4274551	124620551
20170301 14381	1115466	15386449	124239294
20170301 184820	1006244	14318462	124120074
20170301 195587	1194743	23848713	123964604
20170301 170371	1113343	9266280	123748063
20170301 15987	1799332	13333507	123663659
20170301 121905	819265	19925772	123642009
20170301 170265	893805	6386213	123641061
20170301 170591	1355764	12037936	123311294
20170301 118194	1572204	15289393	123289469
20170301 109935	456512	1769697	123270165
20170301 111124	811040	9067712	122991954
20170301 90499	1133609	7854021	122763856
20170301 170868	1102177	8337026	122429103
20170301 170385	1124813	9396900	122314932
20170301 3528	1201008	12770529	121812707
20170301 73068	1165202	9858978	121702375
20170301 127904	878972	5420956	121288172
20170301 103856	1833485	19921179	121222668
20170301 243500	523605	4683967	121103055
20170301 560	1730148	14936518	120872914
20170301 161474	483237	5723777	120856591
20170301 110269	945098	5796822	120820056
20170301 41288	951893	6859680	120754943
20170301 119323	979911	9148795	120268077
20170301 118512	2127305	17415695	120195853
20170301 242630	1135842	6006557	119760700
20170301 170386	1181261	9592951	119731291
20170301 22681	813472	6661405	119506483
20170301 2672	641576	4821401	119349207
20170301 13413	1093096	5972537	119149646
20170301 102146	603240	5437521	118846857
20170301 72297	819893	11144446	118676209
20170301 170378	1171719	9468657	118509836
20170301 170399	1107841	9647288	118482166
20170301 170377	1173296	10025102	118226381
20170301 170264	772624	6000802	118103559
20170301 170266	876354	6387523	117820291
20170301 170389	1231336	10102309	117731034
20170301 170380	1151442	9121354	117605697
20170301 137881	2187451	19639081	117317323
20170301 238339	1477951	14684475	117280174
20170301 178245	708303	3678092	117254723
20170301 81057	1972580	17334673	117148660
20170301 228577	801125	7704290	116778991
20170301 170381	1084848	9462698	116711948
20170301 170366	1050596	8804455	116542370
20170301 105848	1128868	8657305	116145058
20170301 170276	1262458	11349766	116059432
20170301 170853	930239	6287208	116039193
20170301 170654	720707	6094577	115961747
20170301 170383	1144433	9501432	115773562
20170301 170838	1245101	8189749	115739176
20170301 170259	770195	5815099	115217017
20170301 118544	1194859	16004244	115209075
20170301 139225	1274207	13940606	114402712
20170301 73057	1123123	9522015	114067723
20170301 80998	1226364	8947321	113795425
20170301 107272	631651	9621026	113787822
20170301 167339	432177	6358032	113459832
20170301 29995	624695	9126995	113276080
20170301 198423	1799595	16234781	113252753
20170301 69844	1033260	13943821	112800775
20170301 14366	1115893	18497454	112783291
20170301 102666	1114022	7543067	112778415
20170301 71459	1081380	5799020	112492523
20170301 170384	1051674	8804675	112478611
20170301 96254	1271222	14454979	112225257
20170301 117536	681724	5294209	112090154
20170301 116510	963599	9371833	111942800
20170301 206463	1061612	8116530	111573497
20170301 223624	1138551	16207165	111527447
20170301 14600	1369672	13341708	110771214
20170301 170390	1033771	8985719	110669637
20170301 170592	1269610	10979552	110650014
20170301 222303	708646	5111949	110364542
20170301 69231	629303	6175053	110314712
20170301 232493	778499	4487785	109814985
20170301 170597	1217858	9505544	109635119
20170301 98333	622515	5045662	109252521
20170301 159751	1908860	18708336	109164956
20170301 919	745673	11911643	109076450
20170301 1576	1121903	15073401	109066972
20170301 7633	1012861	6378266	109034438
20170301 110302	1248267	8429616	108947314
20170301 7666	1455839	17282409	108934263
20170301 154302	1364491	7048665	108711622
20170301 170670	922218	7625056	108202373
20170301 1066	1751759	25767326	108189211
20170301 58362	1434194	19270480	108112578
20170301 153963	1497139	10039444	107881808
20170301 172511	1102286	3372052	107842864
20170301 170516	1237177	10938303	107822968
20170301 74552	1101281	11665712	107810036
20170301 102794	1235762	15227136	107707416
20170301 89401	750231	5071373	107457093
20170301 127202	1570357	17486782	107441574
20170301 170397	1021129	9182913	107441267
20170301 170840	917361	6423549	107251809
20170301 21098	720186	9896419	107087851
20170301 170596	1149296	10820724	106828404
20170301 19323	1088035	13552229	106734210
20170301 235520	1034477	12322092	106664398
20170301 750	595033	4776363	106657781
20170301 268194	589674	3668413	106290551
20170301 178880	789028	7859688	105918859
20170301 87558	1061666	195232	105728698
20170301 170260	760769	5538249	105670373
20170301 122020	1646546	11794928	105532008
20170301 107874	1894789	11374593	105343020
20170301 170272	810769	5972757	105286008
20170301 170590	1190541	11418556	105149198
20170301 30513	604652	3366477	105114975
20170301 98783	1378376	14410637	105107403
20170301 146076	1064843	10217316	105024321
20170301 148400	673118	12989291	104669361
20170301 189077	3071116	19256365	104469817
20170301 67138	1434481	17102615	104344304
20170301 181149	669821	4450271	104270213
20170301 73100	1083931	10122912	104206338
20170301 129863	1226245	12637284	104033119
20170301 131962	1403687	21505173	103943740
20170301 170367	1020296	8720273	103854008
20170301 156957	585826	6578172	103725833
20170301 170274	1127342	9810013	103707829
20170301 97096	773842	9364211	103616029
20170301 254	1307425	18556497	103501577
20170301 98780	1795170	19731532	103483658
20170301 140358	819262	5979996	103423083
20170301 158821	1057552	12981840	103157365
20170301 96767	1554461	16000031	103018778
20170301 107818	954466	9565278	103008651
20170301 249610	1618783	16826686	102793467
20170301 95007	1806875	25136186	102730034
20170301 103257	1827875	18561775	102671276
20170301 278882	762053	4549036	102544417
20170301 190762	843130	7580830	102368023
20170301 186964	492491	4832918	102340872
20170301 170600	1192877	10227625	102264105
20170301 116127	1229938	16360343	102131177
20170301 193079	494880	6901055	102048098
20170301 170379	954322	8320778	101940279
20170301 103852	1705103	17976896	101833992
20170301 175895	1703735	13396001	101765691
20170301 170362	962810	8229283	101606114
20170301 162245	705240	4007348	101176125
20170301 172621	976581	13984292	100978563
20170301 170640	716460	5610678	100761507
20170301 170391	1018152	9054513	100691485
20170301 282670	779335	5511371	100589643
20170301 170395	969028	7969421	100539893
20170301 170657	726116	6376708	100360836
20170301 170372	911737	7322422	100204401
20170301 73097	1196366	10298437	100156032
20170301 170598	1041128	9756303	100117728
20170301 73096	1197307	10365628	99995859
20170301 65852	857680	17596285	99944735
20170301 170593	1268416	11940144	99648404
20170301 234997	1266310	11011692	99113775
20170301 250667	844527	5076772	98701403
20170301 118188	1212233	14208987	98609341
20170301 170261	674060	5039637	98445042
20170301 95276	1405289	36077693	98168091
20170301 244524	1276643	7961611	97711218
20170301 220406	811545	8215446	97556867
20170301 142514	858138	6424330	97346689
20170301 244129	823454	5371778	97284480
20170301 75526	837165	7649212	97230595
20170301 150935	725705	4313903	96864989
20170301 170363	946647	7936554	96825544
20170301 170675	684631	5622841	96748404
20170301 77500	916817	6681655	96733573
20170301 52140	1417574	17239912	96684568
20170301 184603	629088	11464024	96631890
20170301 245488	494695	2729711	96522917
20170301 73095	1127064	10095806	96472323
20170301 73058	659889	5193500	96388730
20170301 13058	559146	11273938	96303800
20170301 19495	828318	7133416	96289706
20170301 190057	1037874	11823666	96214627
20170301 170012	690672	4307722	96175052
20170301 219635	2440293	26302848	95998295
20170301 170642	738074	6247886	95737218
20170301 228616	652525	3853032	95626975
20170301 245835	1567866	18130399	95474107
20170301 15476	1423121	12595212	95352011
20170301 112683	853088	4908056	95339470
20170301 40854	1509010	14823109	95285188
20170301 170369	954726	8172704	95282122
20170301 82209	1692570	17110381	95226117
20170301 229021	983752	8010498	95143438
20170301 170269	690781	5519406	95032349
20170301 170515	1063420	10098022	94967886
20170301 235026	1116893	7334661	94953901
20170301 207642	863691	14629632	94674578
20170301 200858	720339	8768136	94543072
20170301 71263	1015804	8746085	94374188
20170301 90334	1185684	19753098	94362291
20170301 170271	716032	5126085	94358537
20170301 57599	1211407	35059525	94329848
