20170301 wmid	SUM(cnt_click)	SUM(cnt_view)	SUM(dwell)
20170301 57101	54052905	742773546	5740728674
20170301 11281	59578511	779709429	5274858743
20170301 121912	19766873	92457354	4035519688
20170301 7022	23798876	321180746	2647900924
20170301 154792	18354835	198881011	1567363969
20170301 122313	5453357	53263497	1410528264
20170301 138051	3307832	16996766	1264588029
20170301 3537	14863354	143894066	1252139292
20170301 187686	6744560	50473856	1205593606
20170301 207853	7055646	39381308	1192738968
20170301 69996	7749281	56471452	1179104539
20170301 114954	7803447	54306712	1174571779
20170301 109807	8342288	53864854	1157924032
20170301 128052	7669743	35427441	1155654334
20170301 11704	11335041	151683062	1136163679
20170301 117332	9817711	68550497	1033114512
20170301 80916	8510919	38919941	980261304
20170301 20816	4465619	22126226	911353137
20170301 7089	9166562	200266995	877883887
20170301 104520	6711308	27901323	854363868
20170301 129753	2115350	14119488	846738182
20170301 250626	7095092	57712760	829103900
20170301 207212	6295200	38457804	826868499
20170301 167844	3863160	34734306	826002761
20170301 194970	13122413	158311427	824374886
20170301 131882	1880301	13225306	803446334
20170301 75762	10248129	91637276	792242794
20170301 145769	5905737	39203874	777948141
20170301 136375	4302953	59006517	768237599
20170301 126313	4204387	35522075	751013142
20170301 96612	2180770	37473876	746016594
20170301 241734	1748051	10871996	718681380
20170301 154127	7015493	45508819	718553181
20170301 103899	4308798	41701860	691029108
20170301 129827	8168351	64134959	691028904
20170301 1816	3033146	17948741	681652906
20170301 219848	6395729	61182286	679413759
20170301 150630	3343957	22237243	665623087
20170301 24	3984524	41631628	650265744
20170301 75457	6916148	65090990	646266986
20170301 239888	6381345	58485837	645622684
20170301 129721	1692342	11116396	641015612
20170301 14369	7930063	137236961	631854474
20170301 144760	1393098	9482868	626825980
20170301 127658	5796965	39116623	625175869
20170301 231901	2170092	23202878	613863769
20170301 75544	7061029	40591219	605420559
20170301 113621	5276233	58220771	601843639
20170301 14379	3104323	21052745	598414755
20170301 81028	6942404	36014349	575931377
20170301 29542	4340528	26563182	572709577
20170301 50948	4335429	24297074	570547375
20170301 137835	4298599	21857716	558970343
20170301 73156	6179741	59904326	558033264
20170301 121900	7505124	45287963	550058036
20170301 73404	5951205	56286654	546569651
20170301 73397	4494019	31280468	545643104
20170301 110703	3982244	22127091	544821083
20170301 112046	5620350	41600475	522935742
20170301 223286	1632775	9343830	517503933
20170301 170830	4557999	33092611	509236723
20170301 65779	7724195	334242276	503626389
20170301 31113	5296465	136549088	497324418
20170301 73158	5436609	53794245	493246192
20170301 63646	7155138	98693118	493124193
20170301 87529	2161760	14158809	480378633
20170301 241939	1570006	17450871	479018330
20170301 17906	5280634	61589881	477333309
20170301 73101	3889790	28114835	474886142
20170301 1054	4692153	66320193	473247419
20170301 247572	2960768	16500440	470645765
20170301 244069	7365929	64027264	469635540
20170301 54403	2581495	31624889	462758643
20170301 170818	4039377	27758329	459539213
20170301 73094	4066858	29187444	458679917
20170301 107855	2935875	16383553	449980233
20170301 30106	3475457	21667358	449431122
20170301 170814	3892403	29407468	449048101
20170301 17757	2689525	29518810	438742200
20170301 170822	3718726	26896750	436951337
20170301 170827	4021249	28740923	436577464
20170301 170816	3732391	27288869	436479382
20170301 124229	2559269	16975902	436432868
20170301 170819	4144171	29048427	434823272
20170301 136275	5552415	54840841	434322899
20170301 61726	4277500	55735302	432936313
20170301 73098	3869110	30651214	432807094
20170301 198576	3793340	21845539	426372943
20170301 170826	3722607	27762823	425030677
20170301 233534	4049937	35915736	419505430
20170301 170829	3784957	26159690	414350634
20170301 170821	3491732	25277652	414275131
20170301 170824	3550653	28652112	411186071
20170301 170811	3517528	25034066	410946684
20170301 65775	5583841	114229300	410432746
20170301 73093	3513152	26439012	404883859
20170301 170796	3683680	27431311	404589610
20170301 16279	3473172	38391380	403677899
20170301 213942	2375685	15664068	403530994
20170301 170801	3604386	27290732	403100242
20170301 130421	2283001	23723639	402543169
20170301 170805	3432563	25871699	401678210
20170301 170808	3204533	24729591	400770369
20170301 81091	2307195	17129522	399827363
20170301 170812	3168977	23843211	398315352
20170301 194655	2623798	19901546	397756094
20170301 180394	1762541	17195271	396186700
20170301 170800	3328515	25560111	394741650
20170301 170282	3453263	30494835	392202559
20170301 170798	3338447	26592151	392197645
20170301 141747	1893600	25382306	391549495
20170301 73204	2571542	13987703	389337515
20170301 170813	3410855	24525608	388341364
20170301 170825	3500398	26766099	385744109
20170301 8130	1868717	11037677	384693216
20170301 170820	3268113	25387194	382080384
20170301 170828	3343210	25454694	379181197
20170301 170817	3512227	25934316	377649488
20170301 170797	3464410	26502941	375444017
20170301 170823	3480198	26106435	374856932
20170301 81883	1022752	6938108	370436403
20170301 126391	1062662	7070151	366367433
20170301 3392	4837729	47189621	364866672
20170301 175881	1627304	10016363	363509269
20170301 6599	2357157	25788092	361565012
20170301 170803	3164041	26144008	357954706
20170301 62103	3635502	31550862	351911867
20170301 170799	3063709	23534900	347630194
20170301 170807	3104898	23368548	346318345
20170301 211457	3581314	32224400	344328397
20170301 170795	3113541	23943260	342546910
20170301 64248	2677071	20705857	342260178
20170301 219668	1608316	18696329	342006959
20170301 118129	2447563	28638187	337966000
20170301 170815	3077619	23341617	337716156
20170301 98912	2300497	14325499	333349590
20170301 150176	1882733	16135695	331469528
20170301 107501	2870974	28997947	329834650
20170301 196152	2348188	19530334	329357896
