20170501 wmid	SUM(cnt_click)	SUM(cnt_view)	SUM(dwell)
20170501 194970	79339268	648000116	7039681501
20170501 80916	27307613	148096147	4357633976
20170501 57101	38078600	438107777	3958713900
20170501 11281	38282730	405229394	3920849737
20170501 69996	20809792	145859924	3144934969
20170501 81028	18230916	115645695	2920224226
20170501 121912	11934331	76933192	2524518661
20170501 128052	8471896	51907571	1566461324
20170501 110703	11432414	69231630	1552048662
20170501 231393	6786541	39330387	1535458472
20170501 7022	12046828	159164600	1413259074
20170501 127658	11084937	73947233	1384235001
20170501 75457	12024260	118237228	1338086347
20170501 289302	6224739	45311254	1278182482
20170501 20816	8707289	56195113	1220772007
20170501 194971	15673080	146556292	1214690207
20170501 105098	15582709	96723820	1146572600
20170501 83638	6554684	46908241	1100950022
20170501 103899	7305429	72297276	1063124501
20170501 230432	6232612	33027988	1062432179
20170501 11704	13049305	178184744	1036546034
20170501 117332	9056991	54491200	1024082783
20170501 1816	4663102	27215409	1013959464
20170501 14356	6953443	67597563	973620235
20170501 211457	11326013	76049884	948130457
20170501 126313	5394414	44499539	881237569
20170501 207212	7119133	45974717	851157574
20170501 175881	3306659	28112487	848786410
20170501 284741	3068588	18462828	833579016
20170501 128482	5088243	39092020	826697173
20170501 197216	4758481	30034423	813133778
20170501 62103	8838946	67856128	807027174
20170501 152938	7541115	49424717	800233003
20170501 75544	8884368	50988450	791342307
20170501 114954	4656353	30643649	790735081
20170501 17757	6030788	52579014	790218489
20170501 333111	4543859	21424922	783643597
20170501 118512	4013714	23840341	765160657
20170501 138051	2671534	19465201	763952880
20170501 113621	6996179	62252296	751131513
20170501 347923	6362619	36496389	742332821
20170501 223900	4775306	33314470	734126423
20170501 251201	2471196	17248960	727527108
20170501 241734	2436931	16749015	725171469
20170501 215248	2893396	22860590	718856816
20170501 118129	4169360	37221204	717155172
20170501 109807	4810958	25496941	713831755
20170501 150630	5638645	43858440	701944605
20170501 3537	9613908	94911815	700838234
20170501 115750	4809416	29057843	693072398
20170501 285125	6196615	28371587	689611844
20170501 130421	3978643	37934240	656706813
20170501 307310	5739114	40114467	653499054
20170501 107855	3424564	19218040	638768614
20170501 41068	5315688	39774381	623134584
20170501 159751	9786331	66049350	622374869
20170501 65775	6747170	97261386	611600893
20170501 353082	2717839	18968524	611049024
20170501 101861	3491213	25212243	603094956
20170501 200218	2607108	22307915	600454428
20170501 194655	3858850	22280451	599696000
20170501 50948	4423707	26562990	594047391
20170501 168382	2613016	21867671	587055456
20170501 213868	5453352	38203839	584927313
20170501 104520	4027695	21765791	573779015
20170501 136275	7417610	62332964	572757689
20170501 174986	2778003	23550255	567517103
20170501 163572	5124394	44504520	562439576
20170501 207853	3451875	29974134	559556129
20170501 249116	3530318	23777774	558807491
20170501 333390	2953029	14609080	551742674
20170501 30106	4213942	27740294	548587694
20170501 153325	7169580	78161046	533688441
20170501 29542	4025280	25086194	530906588
20170501 241939	3576346	26920613	529244935
20170501 261573	3998782	24633435	529096857
20170501 346076	2497559	13854209	523167157
20170501 57411	4807451	29261922	522472803
20170501 163111	5709057	44327234	512968064
20170501 200688	3020019	20180064	507412707
20170501 322576	2730412	18948467	501230820
20170501 81883	1934815	16225430	493836427
20170501 4723	1745662	10113998	491998386
20170501 23167	2869973	23002714	484106903
20170501 109375	3192101	20451795	478975338
20170501 97387	3325686	23236897	478808203
20170501 180394	2881792	23133041	477103925
20170501 211009	4852288	30739514	476236770
20170501 184812	7436364	64578004	474283787
20170501 198558	7685785	81713076	471935783
20170501 277887	3363731	23044160	466351494
20170501 124229	2556977	17389186	462801540
20170501 48146	4796402	56424751	460848563
20170501 120377	5215026	29617158	453543535
20170501 6599	3300156	36796730	453188659
20170501 223761	2581912	15404123	449465956
20170501 145769	3242721	18718752	439644671
20170501 293842	3020524	18307545	434458458
20170501 328421	4516798	33721732	428373877
20170501 304732	824497	6514153	426284472
20170501 131882	1171401	9136494	422629253
20170501 322308	2051755	14055114	416339167
20170501 73098	3278693	28283122	415355943
20170501 143378	2602059	19492292	414555591
20170501 223286	1626609	13212692	414499282
20170501 261392	3698953	19770276	405716433
20170501 190907	1634516	10567381	404765521
20170501 349958	2301266	13516646	401595822
20170501 122313	975948	11896315	401357380
20170501 61726	3542388	46784650	399966707
20170501 159169	5598348	37060065	395904600
20170501 54403	2421002	20941880	393128294
20170501 190738	3232349	39688155	392233759
20170501 87529	2558101	12378877	392033203
20170501 170827	3203198	26762847	391395720
20170501 189076	2663107	16797105	386973027
20170501 10530	3223578	21637272	386970863
20170501 347292	1626146	13843861	385584021
20170501 262114	2032635	16027685	384926409
20170501 176329	3435864	22765201	381313300
20170501 65641	3822513	48549078	380077445
20170501 60354	2046816	25322912	379411206
20170501 327726	3003296	16993530	375968434
20170501 369465	2541951	16177423	374289613
20170501 15476	4246922	32897907	372446731
20170501 378250	1613351	6985485	372200570
20170501 133167	4733430	38138563	368530254
20170501 121900	3373805	25653260	366463147
20170501 325781	3311830	19711032	361957321
20170501 107367	2480011	19425969	361237807
20170501 72258	2674532	25132909	360956665
20170501 80387	2935475	23027111	357853084
20170501 16279	3227537	27708691	352336403
20170501 115109	2759682	23216089	347211086
20170501 328542	1705424	16984445	346396090
20170501 337643	1800438	9718764	346213166
20170501 170796	3096495	27455872	346045428
20170501 27687	2679597	18195672	344854373
20170501 73093	3293919	28069153	343194389
20170501 343604	2306593	14847815	342721764
20170501 14379	2971294	32593637	340621006
20170501 121883	816197	3973947	339136099
20170501 327716	1786506	10728992	338355493
20170501 170826	3390904	30943099	335841930
20170501 170823	2782739	26413758	335721509
20170501 260965	2838797	19063389	335084168
20170501 103903	1939061	14897973	334958323
20170501 170816	2626698	24312737	333362480
20170501 170830	2827804	22605339	331376697
20170501 25310	2527626	24335237	331241047
20170501 167864	3709109	34444914	330373241
20170501 10785	3101757	37845349	330227725
20170501 73101	2876148	26943182	329686044
20170501 284770	1459992	10694722	327956309
20170501 70041	2555079	16989489	325058857
20170501 17906	4080974	50144511	322315720
20170501 154797	4162134	40284310	321998186
20170501 170818	2873112	25612083	320941514
20170501 164587	3573584	28806448	320086508
20170501 200966	2074310	28681119	319468251
20170501 113677	2477957	14879573	318847845
20170501 305731	1968802	13077752	317587488
20170501 243500	1916936	14366580	316774987
20170501 170821	3015088	24944075	315665057
20170501 17621	1826946	19981607	313433396
20170501 65779	4780013	163912326	313357854
20170501 154302	4016572	22349003	312877938
20170501 138164	3827834	19673763	311394717
20170501 170800	2894042	25868792	310866743
20170501 22487	4406847	36477399	306363170
20170501 170803	2649405	24029648	306226444
