20170501 wmid	SUM(cnt_click)	SUM(cnt_view)	SUM(dwell)
20170501 237553	1680443	10336723	305462119
20170501 282670	3075680	25784728	303272350
20170501 149936	2769111	22459340	302284648
20170501 50288	1863726	22212709	299004834
20170501 170815	2863141	27114577	297319220
20170501 154127	3122333	18542555	297123001
20170501 375422	1644424	11851933	297068319
20170501 70019	2904921	37048177	296563251
20170501 73094	2871258	25958007	294899586
20170501 73397	2635558	24918895	294495083
20170501 112548	2705814	28683479	290333904
20170501 170819	2707232	26037841	290140428
20170501 100001	3734272	32456788	289935758
20170501 131319	1437845	10413115	288346798
20170501 170797	2738779	26228104	287411525
20170501 187686	1693158	15069045	287033124
20170501 111954	2506206	17071089	286135216
20170501 222969	892423	6538534	285391360
20170501 83430	3502380	26118322	283924806
20170501 202160	2307341	18515841	283586259
20170501 129753	1914443	18561896	282372057
20170501 170817	2838236	26399333	281277073
20170501 170813	2577393	22876889	280198499
20170501 102649	2027975	17732514	277523882
20170501 170814	2665992	23026611	277316387
20170501 219668	1118268	11683910	274657996
20170501 246454	1378424	10552652	274190546
20170501 127261	1134674	12477484	273937453
20170501 170799	2305304	23676765	273062550
20170501 223829	906520	5855627	272927282
20170501 19602	2335016	13178812	272387068
20170501 8433	3144391	24068944	271922564
20170501 170795	2638029	24425338	270981534
20170501 232821	2734575	26640366	267002355
20170501 170807	2522730	24467582	266778364
20170501 170824	2522734	24404972	266501804
20170501 317545	1535994	7812121	266155076
20170501 157409	2066997	13701910	265866878
20170501 172126	3038306	20637334	265847730
20170501 170828	2755955	25328251	265493039
20170501 184810	4203746	32467143	265137766
20170501 269017	1915321	14637066	264091644
20170501 92358	1880273	13742709	263598040
20170501 235352	1702742	14698771	263258808
20170501 170801	2225140	22629851	262340982
20170501 51853	1891314	12540628	260825019
20170501 206403	1737364	15527126	259132133
20170501 1054	3438116	42718940	257926166
20170501 73158	2985180	33567667	256669448
20170501 170825	2396628	23409653	256046020
20170501 230889	1539587	18006149	255364053
20170501 561	2406959	26814398	255337400
20170501 137835	1397551	9237835	254958740
20170501 401220	939366	5452987	251519033
20170501 131549	1928314	12826861	250746562
20170501 338156	1350604	6665527	250481953
20170501 11545	2559152	25278917	250243340
20170501 69034	2326483	19520888	250106361
20170501 63646	3639214	51117382	248605740
20170501 136375	1881991	28572594	247791821
20170501 133706	2213886	37580855	247220577
20170501 278882	1830833	11578729	247168384
20170501 122647	1953574	12784106	247121125
20170501 227218	3102349	19001992	243180374
20170501 365629	1593599	8955006	243043337
20170501 170798	2541962	24584341	242562281
20170501 277883	1542413	7274844	239984935
20170501 180025	4066566	24595811	239745916
20170501 100867	1982250	22629131	238365446
20170501 170812	2197733	20300530	238178704
20170501 170805	2293622	22027409	237397270
20170501 65919	4402249	55471375	233894653
20170501 362939	2069984	11492086	233384722
20170501 121820	2544618	21903676	233056972
20170501 369318	1438010	8822114	232280572
20170501 170822	2248819	22545123	231135780
20170501 112626	4396898	45898652	230946938
20170501 47090	2716203	25869454	230806414
20170501 20067	1614314	12813170	230103477
20170501 339656	1587706	13645332	229704869
20170501 170820	2200316	22929839	229308045
20170501 170829	2187096	22131776	228599527
20170501 170808	2187269	21044848	228244875
20170501 137088	2156042	16094893	227125520
20170501 212852	2076289	14355411	226622225
20170501 144760	910511	6767346	226255114
20170501 20346	2812991	21244287	226117526
20170501 230600	1848399	16727411	224583213
20170501 220516	1294657	11930978	224163491
20170501 2332	2389597	45079658	223331722
20170501 184603	1346832	16554509	222704148
20170501 198576	1994948	11281040	222471171
20170501 37350	2152903	23439650	222191473
20170501 240948	1129973	10679338	221592203
20170501 193867	3125938	60300137	220473193
20170501 1066	3281318	38755068	220308011
20170501 391361	1159034	5620300	220007069
20170501 65571	2077855	25858793	219931700
20170501 362370	1128308	12688452	219321727
20170501 73404	2627855	31628215	218815509
20170501 327627	1398814	9418697	217787800
20170501 146772	1553013	13503765	217308406
20170501 129721	1381634	13946977	217296092
20170501 256638	1103414	5920138	217231302
20170501 189040	2485506	29136499	216178677
20170501 159583	511994	4987781	215343256
20170501 111948	2853457	23794593	214213413
20170501 170811	2046750	20684962	213931131
20170501 81091	1288536	8781796	213924079
20170501 153471	5191438	38751856	213341204
20170501 334927	665949	5433627	211463475
20170501 253623	2152295	23867312	210793555
20170501 1495	1618564	15128952	210775892
20170501 205115	1186665	7219875	209683994
20170501 147921	1199763	7590658	207690702
20170501 63827	3516351	30232016	207627214
20170501 216314	2190742	21394223	207596328
20170501 150589	2247194	13556894	206626602
20170501 36718	1598534	20033957	206355092
20170501 112046	2975206	20101733	206064036
20170501 96612	1068433	15431517	205817348
20170501 239888	1781174	11409609	205009571
20170501 5286	6314483	29408846	204953624
20170501 196152	1701607	14859501	204943539
20170501 113210	2902304	19102885	204780548
20170501 139888	1721537	18938528	203409315
20170501 118017	1687460	14160914	203220244
20170501 1180	932343	7965667	203104776
20170501 166974	1214044	9240542	203022394
20170501 120804	1669132	12621362	202948870
20170501 53193	1422649	18136755	202868503
20170501 214849	3445827	23613104	202788019
20170501 194313	1563426	13448600	201479533
20170501 115991	3645851	22302565	201029411
20170501 3392	2920999	29622242	200792095
20170501 73156	2500076	30484556	200483256
20170501 204472	2314354	14321891	199048111
20170501 16399	2959636	28746844	198860912
20170501 144627	1561234	13811343	198706294
20170501 65633	2235385	32438592	197304749
20170501 27870	1058483	6846820	196674675
20170501 194559	1422752	7954172	196017243
20170501 306852	907610	6297445	194843588
20170501 1334	1655125	16496166	194803077
20170501 99600	1903211	22862858	194425155
20170501 200609	1015184	9700542	194174389
20170501 283349	803706	4807638	194088551
20170501 268459	1387387	7382474	192703227
20170501 107267	2635485	21477723	192280809
20170501 66889	1551357	15191657	192191353
20170501 25869	1162684	13501335	191591129
20170501 127263	1426986	14113694	190884129
20170501 230656	1619180	11361883	190695438
20170501 124984	1624365	12215896	190433585
20170501 175895	3057193	23505750	190276912
20170501 121325	2936300	35014442	189522896
20170501 245835	3902358	44887692	188886195
20170501 190157	1156343	8842120	188615310
20170501 919	1450592	14617631	187341179
20170501 76090	2453177	28623096	187033837
20170501 75586	2137407	22994095	186953033
20170501 198423	3397794	26884227	184181204
20170501 235848	2379842	15439405	184145793
20170501 308352	1141620	7005336	183319959
20170501 170763	400099	2747417	183064128
20170501 134765	2674290	24471641	182100342
20170501 146832	1907341	19980379	182071564
20170501 86228	1933942	15909171	180009119
20170501 167844	1229026	15048813	179910863
20170501 83814	982442	10735089	179140972
20170501 383660	1512451	15582605	178984052
20170501 70203	1434311	12394279	178601732
20170501 201062	2100040	6091305	178427412
20170501 130722	1484579	7231768	178308443
20170501 177291	3477206	21547710	177701671
20170501 341954	1288040	6600854	177625320
20170501 241234	1896411	10311788	176918262
20170501 124988	1549135	10494859	176623423
20170501 125410	2645414	19306641	176569031
20170501 175803	2144356	16909149	176239659
20170501 93810	1692931	16833154	175960467
20170501 176048	2428813	14848444	175717997
20170501 146076	1601938	14146852	175185718
20170501 107808	1962538	43515291	175143075
20170501 77422	917681	7523798	175099094
20170501 102643	1255188	10858406	174531932
20170501 10408	2160894	26876352	174265858
20170501 72250	1121504	10938417	172979557
20170501 248057	2070944	28188204	172387984
20170501 168817	1066124	8541324	170241679
20170501 127321	1636294	13716779	170122046
20170501 24382	1642995	18224658	170075069
20170501 237236	904556	9455910	170027320
20170501 196276	635855	3360858	169353124
20170501 90499	1724289	11660991	169071943
20170501 190762	1561104	15777763	168990622
20170501 142514	1027791	5868497	168908097
20170501 347338	1775087	10853812	168154249
20170501 220485	726960	8498100	167706928
20170501 127051	1567880	15472715	167000604
20170501 194977	1928746	29171826	166557821
20170501 312595	1357211	11123907	165914063
20170501 364006	1317143	8484656	165031576
20170501 81057	2369488	18402116	164797729
20170501 332711	890172	4684417	164739209
20170501 109809	1240205	6400061	164728520
20170501 386534	714678	5792095	164104008
20170501 57506	1229460	11279161	164094681
20170501 293821	2315121	18479720	163817037
20170501 213942	935914	8159337	163603739
20170501 179762	1356399	8024569	163311352
20170501 108955	2072327	19533885	163201806
20170501 205790	1522627	11156184	163176835
20170501 207733	632180	4144743	163140449
20170501 54328	1405268	16032836	163086684
20170501 234722	1366637	14349399	162903542
20170501 30622	932994	8150258	162371842
20170501 80908	1089307	5594028	162276697
20170501 305053	2208914	13282003	162108451
20170501 57599	1289476	26900432	161598838
20170501 236947	2573503	13114889	161233692
20170501 110302	1718216	11194551	160537450
20170501 238419	1779146	12047499	160010901
20170501 234672	1455247	15744276	159909097
20170501 102878	1627156	9157536	159682023
20170501 136965	1267218	7926418	159122477
20170501 281534	1393805	9219902	159096997
20170501 65589	1018347	19397834	158627754
20170501 122020	2418600	14926162	158568197
20170501 91310	1694828	11451985	158437853
20170501 375920	688717	5417466	158371556
20170501 337314	1379500	5692782	158345849
20170501 140400	1790421	11990986	158308561
20170501 405492	835969	5411522	158007295
20170501 203041	1092009	6425762	157822078
20170501 103714	1803489	12526168	157066812
20170501 3528	1574594	17679279	157036962
20170501 145615	1509851	16188681	156726757
20170501 384509	932895	7830225	156534229
20170501 31113	1938505	60383095	156266260
20170501 405550	943205	5319479	156237853
20170501 230808	1049240	10545223	156206215
20170501 4094	3530477	29217499	155443328
20170501 103490	1029800	5481300	155237725
20170501 137614	1454866	6935613	154350923
20170501 195587	1501396	28248935	154244342
20170501 198039	1794008	20285601	154068178
20170501 210154	2052595	14886210	154057024
20170501 222303	702034	4485346	153489784
20170501 94132	1364129	7249554	153353750
20170501 144142	1119634	5403882	152721938
20170501 33943	1225543	5362837	152594688
20170501 117764	1788089	29522816	152525827
20170501 311860	461581	6473281	152495273
20170501 37205	1476190	9578604	151952156
20170501 131962	2017754	30690064	151832946
20170501 57086	993864	8552541	151334693
20170501 158587	1424026	11334528	150965444
20170501 362211	1038249	8107674	150379988
20170501 32855	1232561	10079816	150326069
20170501 305995	1374897	8436241	149430291
20170501 252670	1723200	12298690	149207745
20170501 309590	678431	5258521	149152643
20170501 95602	2335565	22578350	149071862
20170501 34932	1154070	11456416	149070085
20170501 71263	1638932	14838595	148657744
20170501 207552	1514402	12005181	148372858
20170501 154792	2673585	52547841	148101335
20170501 146597	1498591	13956343	147980891
20170501 18403	1605058	10156167	147330754
20170501 260225	310311	2437218	147294957
20170501 257562	648062	6309683	147206950
20170501 117536	818211	8411348	146892151
20170501 262179	1187312	6532943	146780811
20170501 332422	506340	1775417	146266376
20170501 310482	374595	3341717	146085488
20170501 232301	2057827	10662456	145796550
20170501 249117	876480	4456776	145776131
20170501 14366	1570617	30996961	145677433
20170501 72297	815474	7357137	145626512
20170501 396745	701153	4692711	145236518
20170501 242308	1276302	12732014	145030349
20170501 174751	1290788	11109147	144923217
20170501 107555	1327326	8494342	144693483
20170501 16904	1980475	17544184	144411569
20170501 129827	1539046	12702796	144295172
20170501 363750	422238	4770558	143679614
20170501 159056	817137	4656765	143357170
20170501 129765	1184730	11247620	142888012
20170501 371973	651961	4738640	142138304
20170501 215987	994777	15640477	141918288
20170501 101635	1323277	10276248	141807275
20170501 230788	1023726	6208900	141761460
20170501 74092	2765613	23727546	141304113
20170501 126391	512414	5363569	141202074
20170501 67697	1506542	8252658	140850675
20170501 369310	2214396	22325442	140636444
20170501 307290	627333	4097497	140449561
20170501 214059	3859319	25766103	140109829
20170501 223624	1623243	21536498	140078761
20170501 36695	1097549	13780068	139201800
20170501 317939	1586122	5838907	138970479
20170501 97327	2539311	43476317	138534536
20170501 42625	1256141	9474580	138232195
20170501 107272	1295469	12701116	138083648
20170501 78286	582152	3754583	137859821
20170501 144083	1211649	9372354	137377621
20170501 253736	1662368	8674612	137288929
20170501 97078	2096242	19731537	137106713
20170501 98219	1156615	9061525	136722800
20170501 157761	2054938	14823189	136718551
20170501 152316	1199147	8483560	136677210
20170501 115528	707171	7898109	136659894
20170501 73117	1131586	10110724	136475475
20170501 135632	1359252	19032287	136376044
20170501 99888	1358902	14558911	136066846
20170501 220540	665319	8383423	135931153
20170501 67553	3137179	48955332	135750504
20170501 309963	1006905	7686106	135665613
20170501 234685	1481796	12665094	135623776
20170501 247056	469932	3524559	135531965
20170501 348718	1396289	8473324	135274091
20170501 251194	549068	3712446	134790231
20170501 342009	1470129	9599125	134052397
20170501 101068	988153	8549077	133998472
20170501 220537	657809	7341843	133633758
20170501 220544	618693	8173112	133436099
20170501 139150	682278	3968406	133399219
20170501 254923	592394	2856143	132951206
20170501 918	1274740	16015844	132476871
20170501 257297	943663	5848945	131497249
20170501 231901	473039	5808240	130909950
20170501 4883	1038065	7451253	130579006
20170501 140358	1075565	7209382	130418702
20170501 126215	785309	7512233	130347578
20170501 17535	1999343	19613998	130037212
20170501 252658	1205033	9695258	129958270
20170501 70723	1783968	17752036	129835965
20170501 61889	1296257	9124274	129769543
20170501 106012	1158579	13470463	129295873
20170501 139225	1543161	16871949	129157605
20170501 220533	733042	7908658	129027840
20170501 109379	1654173	12239111	128979707
20170501 140858	501497	5104423	128963340
20170501 270570	1052402	8926024	128609882
20170501 343202	1156094	11577478	128450118
20170501 170855	1142302	8771235	128290202
20170501 120338	1682702	17598085	128283662
20170501 352921	793782	4907354	128092887
20170501 220406	1113435	10819181	128027249
20170501 78794	1455582	14333895	127841178
20170501 235520	1317569	12592374	127594170
20170501 228577	922329	7918309	127372719
20170501 233534	1181963	11124537	127309702
20170501 107265	1255869	10503360	127294399
20170501 129050	1100278	15361108	127262307
20170501 77086	911766	7693914	127072390
20170501 145748	1222841	9011781	126979797
20170501 127690	1520776	17897126	125953538
20170501 7089	1637832	54655717	125598567
20170501 346972	647508	3735234	124945194
20170501 284318	821715	5633676	124915298
20170501 176224	880063	13015982	124763027
20170501 187505	982732	7624634	124754445
20170501 291973	1010200	7086197	124566836
20170501 155756	1026961	7963199	124091690
20170501 229926	1011553	12244079	124018115
20170501 94262	1170766	12588698	123972635
20170501 170608	945230	9289061	123941727
20170501 81955	1363669	19098756	123873172
20170501 203546	6019264	37866884	123427414
20170501 198048	2153616	24029400	123233890
20170501 109433	1791395	14011206	122876369
20170501 303973	785791	5914684	122327287
20170501 325065	888509	7744709	121919910
20170501 229407	1499845	14051366	121817972
20170501 181360	1369234	14535382	121811775
20170501 327175	1278813	8018315	121655419
20170501 189159	1655686	14423143	121496351
20170501 158821	1241683	14505962	121331943
20170501 74656	800989	9856559	120985857
20170501 57802	1468606	18325481	120900822
20170501 240090	1514177	10862525	120745695
20170501 667	1182580	9400224	120673460
20170501 222169	875777	9953835	120652424
20170501 80998	2487905	17980247	120480560
20170501 233248	1187942	6500642	120028253
20170501 332902	1433632	7883030	119786640
20170501 332735	840897	5792486	119601745
20170501 329992	1360422	8727996	119541235
20170501 83503	1358586	14353067	119467763
20170501 141189	1213996	9893458	119430366
20170501 1576	1169149	16097525	119374875
20170501 157382	2212586	22296061	119108863
20170501 8168	729797	9367989	118775169
20170501 113130	1791521	17217999	118748220
20170501 233449	1092137	6007884	118722686
20170501 404239	325806	3297690	118334992
20170501 140180	1673942	10227236	118190012
20170501 151977	632369	4394336	118039235
20170501 85624	852892	6614020	118037723
20170501 244129	1047428	7098087	118021814
20170501 21098	842170	11474651	117579973
20170501 107958	789821	6482935	117573526
20170501 328230	723990	3511226	117010683
20170501 954	1109195	8093746	116726406
20170501 15719	1256390	13728766	116613865
20170501 113756	2135382	28239652	116555034
20170501 65573	962440	7798381	116399590
20170501 194830	618329	4983761	116365883
20170501 73204	721920	5753236	116308897
20170501 5029	2274922	24122763	116240799
20170501 327698	787169	6813917	116135580
20170501 361110	1286360	10437525	115764438
20170501 203647	846783	6981715	115686608
20170501 164020	1744615	14672240	115607724
20170501 73188	817650	5844346	115526606
20170501 15601	1125215	6892242	115359535
20170501 244524	1410202	9503867	115319386
20170501 80703	1406993	13113247	114876704
20170501 90151	488596	2866259	114593158
20170501 347313	850936	10380156	114484277
20170501 194463	927524	6433898	114174917
20170501 220080	678923	6068135	112732417
20170501 220492	643521	8223701	112722019
20170501 170602	929054	8591470	112536145
20170501 215161	856921	4041104	112410161
20170501 12311	1013268	8831936	112207883
20170501 231079	860800	8507865	111958334
20170501 117796	1099454	15966443	111807734
20170501 234322	1126856	9248287	111611373
20170501 58362	1469596	17227196	111325441
20170501 283334	813041	5109462	110886622
20170501 405776	596727	5633659	110769105
20170501 73209	825528	5567410	110741530
20170501 26	1617225	9785809	110729196
20170501 275513	282981	2687256	110676984
20170501 116982	1067899	8745970	110666033
20170501 170621	908734	8154375	110016994
20170501 175281	935246	8285452	109916862
20170501 227547	548381	7646164	109822576
20170501 198364	1097126	5680872	109566275
20170501 85340	1085476	8500572	109537000
20170501 158380	521701	4846514	109520462
20170501 405210	688409	3492667	109515052
20170501 60568	1099860	6704141	109324907
20170501 257269	797436	4473959	109280353
20170501 377001	735886	2300720	109195878
20170501 385367	1132560	12668313	108826783
20170501 170606	937374	9121038	108224662
20170501 89084	900015	6706255	108210554
20170501 346277	852464	5270785	108155922
20170501 225230	758488	5089820	108058742
20170501 97036	1066230	7678292	108019379
20170501 14385	727018	6401248	107862450
20170501 108333	808033	6073922	107760626
20170501 288809	1282795	3244072	107453527
20170501 135506	804018	9444252	106939076
20170501 129000	1201012	9217495	106750907
20170501 9485	1007675	6397307	106518937
20170501 111124	943230	10029502	106470593
20170501 322334	715488	6742798	106384246
20170501 170366	1046214	9513428	106155849
20170501 115737	713503	5643129	105997554
20170501 89552	976537	9271259	105892177
20170501 109792	1554061	10233586	105742339
20170501 317554	547705	3797357	105655046
20170501 57087	994142	3548969	105623094
20170501 82209	2077863	23714845	105560508
20170501 277115	1562380	13485963	105489995
20170501 229108	741071	6347778	105220462
20170501 220706	1691419	14785072	104992136
20170501 170623	760745	7395678	104606949
20170501 177161	1197251	7402419	104574067
20170501 136192	1519762	10120696	104531289
20170501 235140	1098204	8180812	104376244
20170501 73187	808780	5788948	104256413
20170501 163005	866705	4972604	104014436
20170501 86096	1043746	6992633	103740020
20170501 119323	1224954	12847207	103449557
20170501 220536	539782	7699102	103398670
20170501 121006	752226	6864534	103231352
20170501 250493	371773	1315330	103220606
20170501 79671	923947	6901450	103116287
20170501 265737	857254	5348524	103102074
20170501 195219	836162	5702450	103097025
20170501 331465	946791	7372400	102898977
20170501 95318	1476723	13267164	102821238
20170501 147568	830107	5250200	102796722
20170501 220510	540854	5406206	102753759
20170501 87801	769572	4484250	102735028
20170501 306329	542535	3780656	102495331
20170501 145322	1272333	14548056	102478517
20170501 231723	666621	3593545	102062961
20170501 170610	831675	8548196	102055175
20170501 193779	643750	4865637	101935611
20170501 175067	665054	6361869	101634997
20170501 219682	685921	4441599	101449971
20170501 78254	550018	6206702	101319701
20170501 156009	1812660	38823683	101232066
20170501 280579	955303	7259527	101185274
20170501 315095	479899	4474818	101022155
20170501 220532	579893	6215354	100942234
20170501 4323	1486987	13820596	100900301
20170501 188215	796125	3887761	100720110
20170501 369790	753459	3203979	100698641
20170501 160578	909779	8081230	100204875
20170501 170609	808698	8578847	100195828
20170501 416048	225711	2267124	99981571
20170501 407521	813957	4133726	99762889
20170501 200134	903377	9918065	99492063
20170501 10150	1002966	8074348	99354906
20170501 125797	888630	7616952	98961056
20170501 348495	816563	8801221	98954412
20170501 219635	1631925	16630773	98689382
20170501 345326	1141500	6191704	98443267
20170501 170605	863647	8535823	97969574
20170501 73119	915805	9052976	97843269
20170501 170388	826848	7790054	97554755
20170501 266032	518678	6054654	97506586
20170501 19495	826448	6671487	97382379
20170501 173790	790412	6832134	97250695
20170501 258516	781129	3710075	97206888
20170501 283452	764712	4139296	97105629
20170501 129392	803397	6792295	96948708
20170501 148180	1056304	6131605	96935151
20170501 100202	385464	3717851	96844996
20170501 131828	1441515	8899026	96763761
20170501 213867	720275	4307049	96758094
20170501 309531	519860	4277862	96688923
20170501 18939	1587230	19388008	96673260
20170501 19323	931156	10855535	96568228
20170501 5619	1323551	12345901	96419349
20170501 366555	289872	939226	96405430
20170501 226276	1493301	19618865	96325668
20170501 155396	1518641	12648924	96267895
20170501 359035	584689	5743449	95743104
20170501 233835	880539	4633076	95732914
20170501 373469	225436	2495786	95580217
20170501 170632	772460	8178564	95488697
20170501 88457	1260678	17229596	95178627
20170501 145554	657408	7453706	95042116
20170501 388073	523356	3796304	94867944
20170501 297800	835369	4887980	94791515
20170501 326260	834373	4787957	94480833
20170501 83663	1584805	13834269	94407081
20170501 114188	945008	8469295	94217058
20170501 80789	743666	9701160	94157861
20170501 25685	988354	10609787	94065419
20170501 161341	465789	1822412	94038058
20170501 170634	707031	6984979	94018504
20170501 227071	700987	6224439	93838313
20170501 126050	1539027	22023519	93799443
20170501 254226	1561198	11716692	93782079
20170501 354126	659432	5688163	93767096
20170501 272874	583138	5022915	93758008
20170501 274656	1369652	12193025	93704281
20170501 306408	400916	2182979	93644922
20170501 215478	514436	6054969	93606264
20170501 122612	1702482	16291263	93580164
20170501 170367	942189	7990891	93565016
20170501 141747	604113	11545601	93550982
20170501 73068	807132	7991149	93544472
20170501 228616	551317	3981669	93489402
20170501 256832	1514809	17843788	93309346
20170501 235025	699775	10634601	93234148
20170501 96509	1632278	12514827	93159500
20170501 352264	441670	2235422	93081110
20170501 96267	1392419	11879006	92982379
20170501 170395	837824	7954806	92823546
